Disney_Movie,Disney_Rating,Disney_Genre,Disney_Tv_Ratings,Year,Runtime
Cannibal Sharks,6.2,Documentary,PG-13,2019,44min
Heroes of The Mediterranean,N/A,Documentary,N/A,2019,44min
Disney’s Fairy Tale Weddings: Holiday Magic,N/A,"Drama, Documentary",PG,2017,58min
The Incredible Dr. Pol Blue Ribbon Kids,N/A,Documentary,PG,2016,44min
The Incredible Dr. Pol: Jingle Pols,N/A,Documentary,PG,2013,45min
Puppy for Hanukkah,N/A,,N/A,2020,3min
"Extra Episode, or Not: Behind the Scenes of All the Same",N/A,"Documentary, Comedy",N/A,2022,29min
Jaguar Beach Battle,N/A,Documentary,N/A,2018,44min
World's Greatest Dogs,N/A,,N/A,2015,43min
Heroes of the Long Road Home with Martha Raddatz,N/A,,N/A,2017,46min
Shanghai Disney Resort Grand Opening Gala,N/A,Music & Musical,G,2016,25min
My Music Story: Sukimaswitch,N/A,"Documentary, Music & Musical",N/A,2020,1h 21min
Egypt's Treasure Guardians,6.2,"Documentary, History",N/A,2016,44min
My Music Story: Yoshiki,7.3,"Documentary, Music & Musical",N/A,2020,47min
Paris to Pittsburgh,6.4,Documentary,N/A,2018,1h 17min
Fauci,6.5,"Documentary, History",PG-13,2021,1h 44min
The Last Ice,7.4,Documentary,N/A,2020,1h 23min
