Titles,Genre,imdb,Tv-Ratings,runtime,Director,year
Descendants 3,"Music & Musical, Action & Adventure, Fantasy, Kids & Family, Drama, Mystery & Thriller, Reality TV",6.4,PG,1h 46min,Kenny Ortega,2019
Mickey: The Story of a Mouse,Documentary,6.9,PG,1h 29min,Jeff Malmberg,2022
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Comedy, Drama, Kids & Family, Fantasy, Made in Europe",6.2,PG,1h 15min,Miguel Arteta,2014
Marvel Studios Assembled: The Making of Ms. Marvel,Documentary,N/A,PG-13,1h 2min,Brad Baruh,2022
X-Men: Days of Future Past,"Action & Adventure, Science-Fiction, Fantasy, Mystery & Thriller",7.9,PG-13,2h 12min,Bryan Singer,2014
Night at the Museum: Secret of the Tomb,"Fantasy, Comedy, Kids & Family",6.2,PG,1h 37min,Shawn Levy,2014
Area 51: The CIA's Secret,Documentary,5.8,N/A,52min,Paul Nelson,2014
Howard,"Documentary, Music & Musical",7.5,N/A,1h 33min,Don Hahn,2018
Akashinga: The Brave Ones,Documentary,8.2,N/A,13min,Maria Wilhelm,2020
Star Wars: The Last Jedi,"Science-Fiction, Action & Adventure, Fantasy",6.9,PG-13,2h 32min,Rian Johnson,2017
OLIVIA RODRIGO: driving home 2 u (a SOUR film),"Documentary, Music & Musical",7.1,PG-13,1h 16min,Stacey Lee,2022
Marvel Studios Assembled: The Making of She-Hulk: Attorney at Law,Documentary,N/A,PG-13,54min,Brad Baruh,2022
Lamp Life,Comedy,N/A,G,7min,Valerie LaPointe,2020
LEGO Star Wars Terrifying Tales,"Comedy, Horror, Fantasy, Animation, Kids & Family, Science-Fiction, Action & Adventure",6.1,G,45min,Ken Cunningham,2021
Surviving the Mount St. Helens Disaster,"Documentary, History",7.3,N/A,45min,Sophie Elwin-Harris,2020
Kim Possible,"Comedy, Action & Adventure",3.7,PG,1h 26min,Adam B. Stein,2019
Gender Revolution: A Journey with Katie Couric,Documentary,5.8,PG,1h 30min,Katie Couric,2017
Team Thor: Part 2,"Science-Fiction, Comedy, Fantasy",N/A,PG,5min,Taika Waititi,2017
Home Sweet Home Alone,"Action & Adventure, Comedy, Crime, Kids & Family, Drama",3.6,PG,1h 33min,Dan Mazer,2021
Best in Snow,"Kids & Family, Reality TV",4.5,PG,1h 37min,Sam Wrench,2022
Chip 'n Dale: Rescue Rangers,"Comedy, Fantasy, Science-Fiction, Action & Adventure, Crime, Kids & Family, Animation",7.0,PG,1h 39min,Akiva Schaffer,2022
Jane,Documentary,7.8,PG,1h 45min,N/A,2017
Sharkatraz,Documentary,5.3,PG-13,42min,Victor Murillo,2016
Apollo: Missions to the Moon,"Documentary, History",7.5,N/A,1h 34min,Tom Jennings,2019
Something's Coming: West Side Story,,N/A,PG,42min,N/A,2021
Fantastic Four,"Action & Adventure, Science-Fiction, Drama",4.3,PG-13,1h 40min,Simon Kinberg,2015
Long Gone Summer,Documentary,N/A,N/A,2h 0min,AJ Schnack,2020
Mickey Saves Christmas,"Comedy, Kids & Family, Fantasy, Animation",6.0,N/A,23min,N/A,2022
The Day The Series Stopped,,N/A,N/A,51min,Ryan Fleck,2014
The Deepest Cave,Documentary,6.8,N/A,50min,Pablo Durana,2022
Groot's First Steps,Comedy,N/A,PG,6min,Kirsten Lepore,2022
The Simpsons in Plusaversary,"Animation, Fantasy",5.0,G,5min,David Silverman,2021
Beauty and the Beast,"Fantasy, Kids & Family, Romance",7.1,PG,2h 3min,Bill Condon,2017
Water & Power: A California Heist,Documentary,7.3,PG,1h 27min,Marina Zenovich,2017
Beyond Infinity: Buzz and the Journey to Lightyear,Documentary,N/A,PG,35min,Tony Kaplan,2022
Monkey Kingdom,Documentary,7.2,G,1h 21min,Mark Linfield,2015
Raya and the Last Dragon,"Action & Adventure, Animation, Kids & Family, Fantasy, Comedy, Drama",7.3,PG,1h 47min,Don Hall,2021
We Feed People,Documentary,7.3,N/A,1h 29min,Ron Howard,2022
The Book of Manning,"Documentary, Sport",8.0,N/A,2h 0min,Rory Karpf,2013
Marvel Studios Assembled: The Making of Thor: Love and Thunder,Documentary,N/A,PG-13,55min,Brad Baruh,2022
Under the Helmet: The Legacy of Boba Fett,Documentary,7.2,PG,21min,Bradford Burah,2021
Team Darryl,Comedy,N/A,PG,6min,Taika Waititi,2018
Artemis Fowl,"Fantasy, Science-Fiction, Action & Adventure, Kids & Family",4.2,PG,1h 34min,Kenneth Branagh,2020
The Gospel According to Mac,Documentary,N/A,N/A,1h 41min,Jim Podhoretz,2015
The One and Only Ivan,"Drama, Animation, Comedy, Kids & Family, Fantasy",6.5,PG,1h 33min,Thea Sharrock,2020
Black Beauty,"Drama, Kids & Family",6.4,PG,1h 50min,Ashley Avis,2020
Explorer: The Last Tepui,Documentary,6.9,N/A,1h 0min,Renan Ozturk,2022
From the Ashes,"Documentary, Sport, History, Action & Adventure, Science-Fiction",6.9,PG,1h 22min,Michael Bonfiglio,2017
Aladdin,"Action & Adventure, Fantasy, Romance, Kids & Family, Comedy, Drama",6.9,PG,2h 7min,Guy Ritchie,2019
Solo: A Star Wars Story,"Science-Fiction, Action & Adventure, Fantasy",6.9,PG-13,2h 15min,Ron Howard,2018
Burrow,Comedy,N/A,G,6min,Madeline Sharafian,2020
Frozen Fever,"Animation, Kids & Family, Action & Adventure, Comedy",N/A,G,8min,Chris Buck,2015
Disney's Broadway Hits at London's Royal Albert Hall,Music & Musical,7.6,N/A,1h 55min,Jay Hatcher,2016
Toy Story 4,"Comedy, Documentary, Kids & Family, Fantasy, Animation",7.7,G,1h 29min,Josh Cooley,2019
Upside-Down Magic,,N/A,G,1h 36min,Joe Nussbaum,2020
Director by Night,Documentary,7.0,PG-13,54min,Anthony Giacchino,2022
Marvel Studios: Expanding the Universe,Documentary,N/A,PG,12min,N/A,2019
Ice Age: Collision Course,"Kids & Family, Comedy, Science-Fiction, Action & Adventure, Animation, Drama, Fantasy, Romance",5.6,PG,1h 35min,Mike Thurmeier,2016
Zootopia,"Animation, Crime, Action & Adventure, Comedy, Kids & Family",8.0,PG,1h 49min,Byron Howard,2016
Step Into… The Movies with Derek and Julianne Hough,Music & Musical,N/A,N/A,42min,Nick Florez,2022
Mulan,"Drama, Fantasy, Kids & Family, Action & Adventure",5.7,PG-13,1h 55min,Niki Caro,2020
